d,data,new_data,switches,description
74,test73_model,smlp_toy_num_resp_noknobs_pred_labeled,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -save_model f -use_model t -mrmr_pred 2 -model_per_response t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term formation when mrmr_pred is activated and not all features are selected for training the model. with separate model for each response
75,test73_model,smlp_toy_num_resp_noknobs_pred_labeled,"-config test73_model_rerun_model_config.json",verification test run using model_rerun config covering the case when mrmr selcts only a subset of features specified through the command line or config file
76,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -save_model t -use_model f -model_name test76_model -mrmr_pred 2 -model_per_response f -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term formation when mrmr_pred is activated and not all features are selected for training the model
78,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -save_model t -use_model f -model_name test78_model -mrmr_pred 1 -model_per_response f -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2 -asrt_exprs ""y1==9;y2>0"" -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term formation when mrmr_pred is activated and not all features are selected for training the model, with one model for all responses
84,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -save_model t  -mrmr_pred 2 -model_per_response f -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -alpha ""x2==7.0 and x0==0 and x1==2.5"" -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests global alpha constraints specified using option -alpha on inputs
139,smlp_toy_num_resp_noknobs,smlp_toy_num_resp_noknobs_pred_labeled,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules f -mrmr_pred 2 -model_per_response t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -trace_anonym t -trace_prec 3 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term formation when mrmr_pred is activated and not all features are selected for training the model
144,smlp_toy_num_resp_noknobs,,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -tree_encoding nested -compress_rules t -save_model f -use_model f -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2 -asrt_exprs ""x0**2+y1>4.3;(y1+x2)/2<6"" -mrmr_pred 0 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f ",basic test for compress_rules for dt_sklearn in mode verify and re-using saved model
162,smlp_toy_num_resp_noknobs,smlp_toy_num_resp_noknobs_pred_labeled,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -compress_rules f -tree_encoding flat -mrmr_pred 2 -model_per_response t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -trace_anonym t -trace_prec 3 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term construction with flat_encoding of tress and model per reponse when mrmr_pred is activated and not all features are selected for training the model, adapts test 139
163,smlp_toy_num_resp_noknobs,smlp_toy_num_resp_noknobs_pred_labeled,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -compress_rules f -tree_encoding flat -mrmr_pred 2 -model_per_response f -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -trace_anonym t -trace_prec 3 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term formation when mrmr_pred is activated and not all features are selected for training the model, adapts test 139
184,smlp_toy_num_resp_noknobs,smlp_toy_num_resp_noknobs_pred_labeled,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -compress_rules f -tree_encoding branched -mrmr_pred 2 -model_per_response t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -trace_anonym t -trace_prec 3 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term formation when mrmr_pred is activated and not all features are selected for training the model adapts test 139
185,smlp_toy_num_resp_noknobs,smlp_toy_num_resp_noknobs_pred_labeled,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -compress_rules f -tree_encoding branched -mrmr_pred 2 -model_per_response t -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -trace_anonym t -trace_prec 3 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term construction with branched_encoding of tress and model per reponse when mrmr_pred is activated and not all features are selected for training the model, adapts test 162
186,smlp_toy_num_resp_noknobs,smlp_toy_num_resp_noknobs_pred_labeled,"-mode verify -resp y1,y2 -feat x0,x1,x2 -model dt_sklearn -dt_sklearn_max_depth 15 -compress_rules f -tree_encoding branched -mrmr_pred 2 -model_per_response f -spec smlp_toy_num_resp_noknobs_verify.spec -asrt_names asrt1,asrt2,asrt3 -asrt_exprs ""(y2**3+x2)/2<6;y1>=9;y2<0"" -trace_anonym t -trace_prec 3 -plots f -pred_plots f -resp_plots f -seed 10 -log_time f",tests model term formation when mrmr_pred is activated and not all features are selected for training the model, adapts test 163
